,Tram_2,Tram_10,Tram_13,Tram_24,Tram_38
337,6.0,11.0,14.0,10.0,8.0
338,6.0,8.0,16.0,10.0,8.0
339,7.0,16.0,14.0,16.0,10.0
340,2.0,13.0,17.0,10.0,13.0
341,7.0,5.0,9.0,13.0,13.0
342,3.0,8.0,3.0,10.0,6.0
343,2.0,8.0,4.0,12.0,5.0
344,4.0,12.0,3.0,9.0,6.0
345,5.0,11.0,5.0,11.0,9.0
346,5.0,9.0,7.0,12.0,8.0
347,7.0,10.0,4.0,9.0,9.0
348,5.0,7.0,4.0,7.0,1.0
349,4.0,6.0,2.0,5.0,3.0
350,5.0,6.0,5.0,13.0,1.0
351,7.0,9.0,10.0,10.0,3.0
352,6.0,9.0,10.0,10.0,9.0
353,7.0,11.0,9.0,17.0,15.0
354,8.0,6.0,7.0,13.0,12.0
355,10.0,8.0,7.0,14.0,10.0
356,13.0,12.0,10.0,17.0,10.0
357,9.0,12.0,8.0,16.0,4.0
358,8.0,15.0,10.0,11.0,12.0
359,11.0,13.0,12.0,9.0,11.0
360,7.0,8.0,8.0,13.0,6.0
361,8.0,8.0,17.0,13.0,3.0
362,8.0,8.0,6.0,11.0,3.0
363,10.0,7.0,1.0,9.0,6.0
364,10.0,10.0,9.0,10.0,5.0
365,10.0,10.0,4.0,14.0,9.0
366,10.0,9.0,7.0,19.0,8.0
367,9.0,8.0,13.0,19.0,4.0
368,8.0,12.0,10.0,16.0,9.0
369,7.0,10.0,3.0,19.0,6.0
370,8.0,11.0,9.0,7.0,15.0
371,3.0,8.0,5.0,11.0,11.0
372,5.0,10.0,6.0,12.0,15.0
373,7.0,10.0,9.0,8.0,11.0
374,2.0,6.0,11.0,11.0,10.0
375,8.0,9.0,9.0,8.0,12.0
376,7.0,9.0,13.0,22.0,11.0
377,11.0,12.0,17.0,16.0,17.0
378,13.0,13.0,10.0,19.0,13.0
379,9.0,12.0,12.0,16.0,16.0
380,8.0,14.0,15.0,10.0,10.0
381,7.0,10.0,15.0,11.0,11.0
382,7.0,11.0,12.0,20.0,11.0
383,7.0,11.0,11.0,14.0,5.0
384,7.0,10.0,3.0,14.0,7.0
385,5.0,10.0,11.0,13.0,9.0
386,5.0,8.0,12.0,5.0,8.0
387,6.0,7.0,10.0,8.0,5.0
388,5.0,9.0,4.0,9.0,7.0
389,8.0,10.0,10.0,13.0,7.0
390,8.0,9.0,8.0,17.0,6.0
391,7.0,12.0,8.0,15.0,12.0
392,8.0,11.0,9.0,14.0,12.0
393,12.0,12.0,8.0,11.0,9.0
394,9.0,15.0,10.0,11.0,10.0
395,13.0,15.0,15.0,13.0,6.0
396,10.0,13.0,7.0,11.0,7.0
